Ground,opponent,Innings,Position,4's,Made Runs =<40?
North Sound,v West Indies,1,6,0,no
Bloemfontein,v Zimbabwe,2,5,5,no
Kimberley,v Zimbabwe,1,5,1,no
Abu Dhabi,v Pakistan,2,6,3,no
Abu Dhabi,v Pakistan,2,6,1,no
Durban,v India,2,6,0,no
Cape Town,v Australia,1,5,2,no
Johannesburg,v Australia,2,6,1,no
Durban,v New Zealand,2,0,0,no
East London,v New Zealand,1,4,2,no
Port Elizabeth,v New Zealand,1,5,4,no
Centurion,v Pakistan,2,7,0,no
Colombo (RPS),v Sri Lanka,1,6,0,no
Hambantota,v Sri Lanka,1,6,1,no
Hambantota,v Sri Lanka,1,0,0,no
Dubai (DSC),v Pakistan,2,0,0,no
Dubai (DSC),v Pakistan,1,5,0,no
Johannesburg,v Pakistan,1,6,2,no
Cape Town,v Pakistan,2,6,1,no
Durban,v Australia,1,0,0,no
Centurion,v Australia,1,6,0,no
Adelaide,v Australia,2,5,1,no
Melbourne,v Australia,1,6,1,no
Sydney,v Australia,1,4,3,no
Cape Town,v West Indies,1,5,1,no
Johannesburg,v West Indies,1,4,4,yes
Dhaka,v Bangladesh,1,5,0,no
Dhaka,v Bangladesh,1,5,2,no
Durban,v New Zealand,2,5,0,no
Centurion,v New Zealand,2,6,2,no
Dharamsala,v India,2,0,0,no
Cuttack,v India,2,6,0,no
Cape Town,v England,2,6,1,no
Johannesburg,v England,2,0,0,no
Durban,v Australia,2,6,3,yes
Johannesburg,v Australia,1,5,2,no
Cape Town,v Australia,1,5,2,no
Centurion,v Sri Lanka,1,4,3,yes
Johannesburg,v Sri Lanka,1,5,1,no
Cape Town,v Sri Lanka,1,4,0,no
Southampton,v England,1,4,0,no
Taunton,v England,1,5,0,no
Cardiff,v England,2,5,0,no
Lahore,v Pakistan,2,5,0,no
Lahore,v Pakistan,2,0,0,no
Lahore,v Pakistan,2,6,2,no
Bloemfontein,v Bangladesh,1,5,1,no
Potchefstroom,v Bangladesh,1,5,7,yes
Johannesburg,v India,2,4,0,no
Centurion,v India,2,5,0,no
Cape Town,v India,2,2,2,no
Colombo (RPS),v Sri Lanka,1,6,2,no
East London,v Zimbabwe,1,5,1,no
Potchefstroom,v Zimbabwe,2,6,4,no
Carrara,v Australia,1,5,1,no
Cape Town,v Pakistan,1,5,0,no
Johannesburg,v Pakistan,1,4,4,yes
Centurion,v Pakistan,2,5,2,no
Cape Town,v Sri Lanka,2,5,5,yes
Centurion,v Sri Lanka,1,5,1,no
Johannesburg,v Sri Lanka,1,0,0,no
Mohali,v India,1,5,0,no
Bengaluru,v India,2,0,0,no
East London,v England,1,4,1,no
Durban,v England,2,3,1,no
Centurion,v England,1,5,3,no
Johannesburg,v Australia,2,5,0,no
Port Elizabeth,v Australia,1,5,0,no
Cape Town,v Australia,2,5,0,no
